"Year","sst_raw","sst_anomaly","Stock.ID","Species"
1855,12.7700237433116,0.780915304308853,9,"Sockeye"
1856,12.2800317207972,0.290923281794496,9,"Sockeye"
1857,12.5271544456482,0.538046006645475,9,"Sockeye"
1858,11.0715465943019,-0.917561844700853,9,"Sockeye"
1859,11.4916019837062,-0.497506455296568,9,"Sockeye"
1860,11.0089809099833,-0.980127529019405,9,"Sockeye"
1861,11.3719151814779,-0.617193257524847,9,"Sockeye"
1862,11.8773961464564,-0.111712292546329,9,"Sockeye"
1863,11.9166534344355,-0.0724550045671896,9,"Sockeye"
1864,11.8388168811798,-0.150291557822908,9,"Sockeye"
1865,11.7842671871185,-0.204841251884186,9,"Sockeye"
1866,11.7611038287481,-0.228004610254658,9,"Sockeye"
1867,11.9922820329666,0.00317359396389253,9,"Sockeye"
1868,11.879133105278,-0.109975333724703,9,"Sockeye"
1869,12.3304672638575,0.341358824854815,9,"Sockeye"
1870,11.8513056437174,-0.137802795285282,9,"Sockeye"
1871,11.5833884080251,-0.405720030977614,9,"Sockeye"
1872,11.9684292475382,-0.020679191464479,9,"Sockeye"
1873,12.0342692136765,0.0451607746737323,9,"Sockeye"
1874,11.5791244308154,-0.409984008187342,9,"Sockeye"
1875,11.682689388593,-0.306419050409677,9,"Sockeye"
1876,11.843039949735,-0.146068489267705,9,"Sockeye"
1877,11.1935006380081,-0.795607800994602,9,"Sockeye"
1878,12.4505370457967,0.461428606793994,9,"Sockeye"
1879,12.659672498703,0.670564059700277,9,"Sockeye"
1880,11.370914320151,-0.618194118851708,9,"Sockeye"
1881,11.4414824644725,-0.54762597453026,9,"Sockeye"
1882,11.222919066747,-0.766189372255689,9,"Sockeye"
1883,11.4858899911245,-0.503218447878251,9,"Sockeye"
1884,12.4764411449432,0.487332705940519,9,"Sockeye"
1885,13.0920045375824,1.10289609857968,9,"Sockeye"
1886,12.3771419922511,0.388033553248363,9,"Sockeye"
1887,11.6416618029276,-0.347446636075074,9,"Sockeye"
1888,12.8193962176641,0.830287778661365,9,"Sockeye"
1889,12.4704496065776,0.481341167574833,9,"Sockeye"
1890,11.7410202821096,-0.248088156893142,9,"Sockeye"
1891,13.0814106464386,1.09230220743588,9,"Sockeye"
1892,11.8207376599312,-0.168370779071533,9,"Sockeye"
1893,10.7772367993991,-1.21187163960366,9,"Sockeye"
1894,10.8300748268763,-1.15903361212638,9,"Sockeye"
1895,11.5283369223277,-0.460771516675042,9,"Sockeye"
1896,11.3961087465286,-0.592999692474094,9,"Sockeye"
1897,12.1477333704631,0.158624931460335,9,"Sockeye"
1898,12.2084302107493,0.219321771746587,9,"Sockeye"
1899,11.3499990304311,-0.639109408571605,9,"Sockeye"
1900,12.7681161165237,0.779007677521025,9,"Sockeye"
1901,11.3530248403549,-0.6360835986478,9,"Sockeye"
1902,12.2590241034826,0.269915664479849,9,"Sockeye"
1903,11.5362863938014,-0.452822045201354,9,"Sockeye"
1904,11.3324837287267,-0.656624710276007,9,"Sockeye"
1905,12.163411617279,0.174303178276332,9,"Sockeye"
1906,12.2422258853912,0.253117446388517,9,"Sockeye"
1907,11.9025514920553,-0.08655694694746,9,"Sockeye"
1908,11.3453497886658,-0.643758650336953,9,"Sockeye"
1909,11.1778702735901,-0.811238165412633,9,"Sockeye"
1910,11.2153459191322,-0.773762519870492,9,"Sockeye"
1911,10.5114492972692,-1.47765914173353,9,"Sockeye"
1912,12.0536892016729,0.0645807626701442,9,"Sockeye"
1913,11.8106086651484,-0.1784997738543,9,"Sockeye"
1914,11.9166385332743,-0.0724699057283794,9,"Sockeye"
1915,12.5938940445582,0.604785605555499,9,"Sockeye"
1916,11.5966827869415,-0.392425652061201,9,"Sockeye"
1917,10.7622016867002,-1.22690675230253,9,"Sockeye"
1918,10.9536748727163,-1.03543356628645,9,"Sockeye"
1919,11.0717672506968,-0.917341188305893,9,"Sockeye"
1920,10.8901247382164,-1.09898370078632,9,"Sockeye"
1921,11.4479455947876,-0.541162844215116,9,"Sockeye"
