stock.id,species,stock.name,lat,lon,ocean.basin,state,begin,end,n.years,max.spawners,max.recruits,contact ,comments,source,comments
1,Sockeye,Atnarko-Sockeye,52.38,-126.78,WC,BC,1987,2011,25,55000,90984,,,NA,NA
2,Sockeye,Ayakulik-Sockeye,57.2,-154.54,GOA,AK,1966,2010,45,774328,1786779,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA
3,Sockeye,Bear-Sockeye,56.16,-160.45,BS,AK,1981,2010,30,262946,1188080,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Late run
4,Sockeye,Black Lake-Sockeye,56.28,-158.64,GOA,AK,1965,2010,46,769464.8943,3347748,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Chignik River Early Run
5,Sockeye,Chignik Lake-Sockeye,56.28,-158.64,GOA,AK,1965,2010,46,557174.3431,2279874,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Chignik River Late Run
6,Sockeye,Chilkoot-Sockeye,58.92,-135.23,WC,AK,1976,2011,36,103038,421796,,,"Rich Brenner, 2017, ADF&G, Juneau, AK",NA
7,Sockeye,Coghill-Sockeye,61.06,-147.94,GOA,AK,1962,2008,47,187263,1251046,,,"Rich Brenner, 2017, ADF&G, Juneau, AK","Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis."
8,Sockeye,Copper-Sockeye,60.46,-144.96,GOA,AK,1961,2010,50,900332.7069,3102759,,,"Rich Brenner, 2017, ADF&G, Juneau, AK","Used the ""Wild_BY_Return"" worksheet.  Hatchery component of the run was removed by subtracting hatchery salmon post season and assuming age composition matches that of hatchery fish; upper and lower river values combined because runs not identified in harvests. With wild vs. hatchery, and delta vs. upriver components, the Copper River can get really complicated. Also, the Miles Lake sonar cannot distinguish between various species. Thus, Chinook salmon are subtracted from the sonar counts post-season, as are estimates of fish harvest upriver in personal use and subsistence fisheries."
9,Sockeye,Early Karluk-Sockeye,57.57,-154.45,GOA,AK,1981,2010,30,456842,854227,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Smolts enter ocean at BY+3 or BY+4
10,Sockeye,Early Upper Station-Sockeye,57.06,-154.36,GOA,AK,1969,2010,42,170610,294021,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Early run
11,Sockeye,Eshamy-Sockeye,60.47,-147.94,GOA,AK,1964,2006,35,68129,276208.5,,,"Rich Brenner, 2017, ADF&G, Juneau, AK","the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns."
12,Sockeye,Fennell-Sockeye,49.12,-123.06,WC,BC,1963,2011,46,15409,78650,,,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA
13,Sockeye,Frazer-Sockeye,57.13,-154.04,GOA,AK,1966,2009,44,485835,2227028,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA
14,Sockeye,Goodnews-Sockeye,59.11,-161.62,BS,AK,1981,2009,29,127245,136883,,,"Zachary Liller, ADF&G Research Coordinator for AYK, via Rich Brenner","Middle Fork of Goodnews River was provided to Rich Brenner by Zachary Liller, ADF&G Research Coordinator for AYK (Division of Commercial Fisheries), on 22 August 2017."
15,Sockeye,Kasilof-Sockeye,60.39,-151.3,GOA,AK,1968,2010,43,523653,1853442,,,"Mark Willette, ADF&G, upper Cook Inlet, via Rich Brenner",Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)
16,Sockeye,Kenai-Sockeye,60.54,-151.28,GOA,AK,1968,2010,43,2026637,10356626,,,"Mark Willette, ADF&G, upper Cook Inlet, via Rich Brenner",Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)
17,Sockeye,Late Karluk-Sockeye,57.57,-154.45,GOA,AK,1981,2011,31,831970,1838229,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Smolts enter ocean at BY+3 or BY+4
18,Sockeye,Late Upper Station-Sockeye,57.06,-154.36,GOA,AK,1970,2010,41,408409,1675201,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",Late run
19,Sockeye,Nass (Meziadin)-Sockeye,54.96,-129.9,WC,BC,1972,2010,39,592118,1825747.805,,,"Richard Alexander, 2018, LGL via Greg Ruggerone",NA
20,Sockeye,Nelson-Sockeye,55.96,-161.28,BS,AK,1981,2010,30,480097,1103081,,,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA
21,Sockeye,Owikeno-Sockeye,51.68,-127.25,WC,BC,1987,2010,24,459600,800980,,,Karl English (LGL) June 23 2014 via Jim Irvine (DFO),NA
22,Sockeye,Redoubt-Sockeye,56.9,-135.33,WC,AK,1982,2010,29,103952.8553,139790,,,"Rich Brenner, 2017, ADF&G, Juneau, AK",Dominant age classes estimated from escapement age; Used RR 1 sheet.
23,Sockeye,Togiak-Sockeye,58.95,-160.45,BS,AK,1956,2011,56,526750,1440819,,,"Greg Buck, 2017, ADFG",NA
24,Sockeye,Washington-Sockeye,47.48,-122.42,WC,WA,1968,2011,44,446816,680509,,,"Aaron Dufault 2017
Arron Dufault, Washington Department of Fish and Wildlife, Olympia, WA (via G. Ruggerone)",Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake.
25,Sockeye,Early Stuart-Sockeye,49.12,-123.06,WC,BC,1948,2015,68,386806,1814783,,,"Eric Taylor, Pacific Salmon Commission, 2022",NA
26,Sockeye,Late Stuart-Sockeye,49.12,-123.06,WC,BC,1948,2015,68,1805142,5327124,,,"Eric Taylor, Pacific Salmon Commission, 2022",NA
27,Sockeye,Stellako-Sockeye,49.12,-123.06,WC,BC,1948,2015,68,240406,1904124,,,"Eric Taylor, Pacific Salmon Commission, 2022",NA
