"Stock.ID","Stock","Region","Ocean.Region","Ocean.Region2","Sub.Region","lat","lon","na_count","n_years","yr_start","yr_end","alpha_region","ocean_label","ocean_label2"
102,"Early Stuart","Fraser River","WC","WC","Fraser Early Stuart",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
103,"Bowron","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
104,"Fennell","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,45,1967,2011,"FR","West Coast","West Coast"
105,"Gates","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,48,1968,2015,"FR","West Coast","West Coast"
106,"Nadina","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,43,1973,2015,"FR","West Coast","West Coast"
107,"Pitt","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
108,"Raft","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
109,"Scotch","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,21,1980,2000,"FR","West Coast","West Coast"
110,"Seymour","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
111,"Chilko","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
112,"Late Stuart","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
113,"Quesnel","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
114,"Stellako","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
115,"Birkenhead","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,52,1950,2001,"FR","West Coast","West Coast"
116,"Cultus","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,48,1952,1999,"FR","West Coast","West Coast"
117,"Harrison","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
118,"Late Shuswap","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,66,1950,2015,"FR","West Coast","West Coast"
119,"Portage","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,41,1961,2001,"FR","West Coast","West Coast"
120,"Weaver","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,50,1966,2015,"FR","West Coast","West Coast"
124,"Owikeno","BC Central","WC","WC","BC Central",51.68,-127.25,0,24,1987,2010,"AK","West Coast","West Coast"
125,"Atnarko","BC Central","WC","WC","BC Central",52.38,-126.78,0,25,1987,2011,"AK","West Coast","West Coast"
126,"Alastair","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,54,1960,2013,"AK","West Coast",NA
127,"Babine Early Wild","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,55,1960,2014,"AK","West Coast",NA
129,"Babine Late Wild","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,55,1960,2014,"AK","West Coast",NA
130,"Babine Mid Wild","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,55,1960,2014,"AK","West Coast",NA
131,"Damdochax","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,29,1982,2010,"AK","West Coast",NA
134,"Kitsumkalum","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,34,1960,1993,"AK","West Coast",NA
135,"Lakelse","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,35,1960,1994,"AK","West Coast",NA
136,"Lower Nass Sea & River Type","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,34,1982,2015,"AK","West Coast",NA
138,"Meziadin","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,32,1982,2013,"AK","West Coast",NA
139,"Morice","BC North","WC","SEAK","Skeena-Nass",54.12,-130.1,0,28,1960,1987,"AK","West Coast",NA
150,"Redoubt","SEAK","WC","SEAK","SEAK",56.9,-135.33,0,30,1982,2011,"AK","West Coast",NA
152,"Chilkoot","SEAK","WC","SEAK","SEAK",58.92,-135.23,0,36,1976,2011,"AK","West Coast",NA
159,"Copper","PWS","GOA","GOA","PWS",60.46,-144.96,0,50,1961,2010,"AK","Gulf of Alaska","Gulf of Alaska"
160,"Coghill","PWS","GOA","GOA","PWS",61.06,-147.94,0,48,1962,2009,"AK","Gulf of Alaska","Gulf of Alaska"
161,"Eshamy","PWS","GOA","GOA","PWS",60.47,-147.94,0,14,1968,1981,"AK","Gulf of Alaska","Gulf of Alaska"
162,"Kenai","Cook Inlet","GOA","GOA","Upper Cook Inlet",60.54,-151.28,0,43,1968,2010,"AK","Gulf of Alaska","Gulf of Alaska"
163,"Kasilof","Cook Inlet","GOA","GOA","Upper Cook Inlet",60.39,-151.3,0,43,1968,2010,"AK","Gulf of Alaska","Gulf of Alaska"
165,"Frazer","Kodiak","GOA","GOA","Kodiak",57.13,-154.04,0,45,1966,2010,"AK","Gulf of Alaska","Gulf of Alaska"
167,"Early Upper Station","Kodiak","GOA","GOA","Kodiak",57.06,-154.36,0,42,1969,2010,"AK","Gulf of Alaska","Gulf of Alaska"
168,"Late Upper Station","Kodiak","GOA","GOA","Kodiak",57.06,-154.36,0,42,1970,2011,"AK","Gulf of Alaska","Gulf of Alaska"
170,"Early Karluk","Kodiak","GOA","GOA","Kodiak",57.57,-154.45,0,30,1981,2010,"AK","Gulf of Alaska","Gulf of Alaska"
171,"Late Karluk","Kodiak","GOA","GOA","Kodiak",57.57,-154.45,0,31,1981,2011,"AK","Gulf of Alaska","Gulf of Alaska"
172,"Black Lake","Chignik","GOA","GOA","Chignik",56.28,-158.64,0,47,1965,2011,"AK","Gulf of Alaska","Gulf of Alaska"
173,"Chignik Lake","Chignik","GOA","GOA","Chignik",56.28,-158.64,0,46,1965,2010,"AK","Gulf of Alaska","Gulf of Alaska"
174,"Nelson","AK Peninsula","BS","BS","AK Peninsula",55.96,-161.28,0,30,1981,2010,"AK","Bering Sea","Bering Sea"
175,"Bear","AK Peninsula","BS","BS","AK Peninsula",56.16,-160.45,0,28,1983,2010,"AK","Bering Sea","Bering Sea"
176,"Ugashik","Bristol Bay","BS","BS","Bristol Bay South",57.5,-157.6,0,53,1963,2015,"AK","Bering Sea","Bering Sea"
177,"Egegik","Bristol Bay","BS","BS","Bristol Bay South",58.25,-157.38,0,53,1963,2015,"AK","Bering Sea","Bering Sea"
178,"Naknek","Bristol Bay","BS","BS","Bristol Bay South",58.78,-157.08,0,53,1963,2015,"AK","Bering Sea","Bering Sea"
180,"Kvichak","Bristol Bay","BS","BS","Bristol Bay South",58.85,-157.03,0,53,1963,2015,"AK","Bering Sea","Bering Sea"
