"Stock","Species","BY","R","S","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R2.5","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","R4.4","Logrs","Stock.ID","Lat","Lon","ocean_0","ocean_1","ocean_2","ocean_3","ocean_4","Ocean.Region2","early_sst","early_sst_raw","np_all_spp_sec","det_np_all_spp_sec","RS","RS_stnd","lnRS","S_stnd","early_sst_stnd","np_all_spp_sec_stnd","det_np_all_spp_sec_stnd"
"Birkenhead","Sockeye",1950,242740,41370,0,0,0,0,0,0.0542391035676032,0.757678998104968,0.127008321661037,0,0,0.0154733459668781,0.0391076872373733,0.00649254346214056,0,0,0,0,0,0,0,0,0,0,1.7694349312049,20,49.12,-123.06,0,0.938926423333608,0.061073576666392,0,0,"WC",-0.698977048005723,11.2629207789355,278.775880948522,-46.0342115556935,5.86753686246072,-0.546125025741711,1.7694349312049,-0.0117002550668388,-1.12252384143337,-1.00371947455439,-0.516597984857668
"Birkenhead","Sockeye",1951,216719,13589,0,0,0,0,0,0.143785270327013,0.495558765036753,0.306405991168287,0,0,0.00634000710597594,0.0408870472824256,0.0070229190795454,0,0,0,0,0,0,0,0,0,0,2.76934094157903,20,49.12,-123.06,0,0.945750026532053,0.054249973467947,0,0,"WC",-0.218268799945966,11.7436290269953,345.912615021588,54.1577184963029,15.9481198027817,0.195661584361677,2.76934094157903,-0.630372058962283,-0.388925536179843,-0.686451563450081,0.617761730936374
"Birkenhead","Sockeye",1952,244678,24744,0,0,0,0,0,0.0609045357571993,0.738877218221499,0.135500535397543,0,0,0.0126983218760984,0.0490154407016569,0.00300394804600332,0,0,0,0,0,0,0,0,0,0,2.29136002501671,20,49.12,-123.06,0,0.935282289376241,0.0647177106237586,0,0,"WC",-0.761269347750934,11.2006284791903,372.26607846605,59.6177863081431,9.88837698027805,-0.250248747710863,2.29136002501671,-0.381954652373115,-1.21758675268541,-0.561913061349445,0.679579893018299
"Birkenhead","Sockeye",1953,156143,16287,0,0,0,0,0,0.0525479848600321,0.65456664724003,0.106767514393857,0,0,0.0245608192490217,0.155453654662713,0.00610337959434621,0,0,0,0,0,0,0,0,0,0,2.26040501044247,20,49.12,-123.06,0,0.813882146493919,0.186117853506081,0,0,"WC",-0.888599019056225,11.0732988078851,413.102164056389,107.581869871102,9.58697120402775,-0.272427898495487,2.26040501044247,-0.570288673666221,-1.41190176902863,-0.368934064801542,1.22262287233374
"Birkenhead","Sockeye",1954,175704,8635,0,0,0,0,0,0.0721156035150025,0.729761416928471,0.10215476027865,0,0,0.030198515685471,0.0587806765924509,0.00698902699995447,0,0,0,0,0,0,0,0,0,0,3.01297704941381,20,49.12,-123.06,0,0.904031780722124,0.0959682192778764,0,0,"WC",-0.0450758815623288,11.916821945379,279.175788557416,-13.4245810495588,20.3478865083961,0.519421435267636,3.01297704941381,-0.74069566561784,-0.124619625222487,-1.00182963207903,-0.147396082330283
"Birkenhead","Sockeye",1955,280383,8185,0,0,0,0,0,0.12518590642086,0.788778206952633,0.0256541944411751,0,0,0.0125613892425718,0.0277834248153419,0.0200368781274186,0,0,0,0,0,0,0,0,0,0,3.53385331482465,20,49.12,-123.06,0,0.939618307814668,0.0603816921853322,0,0,"WC",0.439277672765769,12.401175499707,297.331440260044,20.9587743707886,34.2557116676848,1.542838289223,3.53385331482465,-0.750716986367739,0.614541701908401,-0.916031510231735,0.241887697934548
"Birkenhead","Sockeye",1956,279109,27156,0,0,0,0,0,0.0734480077675747,0.749266415629736,0.150733226087299,0,0,0.00671422275885048,0.0137580658452433,0.0060800619112963,0,0,0,0,0,0,0,0,0,0,2.3300043700896,20,49.12,-123.06,0,0.97344764948461,0.02655235051539,0,0,"WC",1.2350273320584,13.1969251589997,242.237562784788,-47.8897731011974,10.277986448667,-0.221579067739836,2.3300043700896,-0.328240373153655,1.82891778931553,-1.17638852137542,-0.537606406057896
"Birkenhead","Sockeye",1957,76363,7068,0,0,0,0,0,0.0469730104893731,0.49101004413132,0.0699291541715229,0,0,0.0731506095884132,0.287586920367194,0.0313502612521771,0,0,0,0,0,0,0,0,0,0,2.37992073121348,20,49.12,-123.06,0,0.607912208792216,0.392087791207784,0,0,"WC",-0.0503560083596665,11.9115418185816,250.262864162291,-21.5640082831207,10.8040464063384,-0.182868584921287,2.37992073121348,-0.775592131429156,-0.132677510822921,-1.13846337295738,-0.239549595678094
"Birkenhead","Sockeye",1958,129262,5510,0,0,0,0,0,0.163350404604602,0.577323575374047,0.0885256301155792,0,0,0.0271696244836069,0.1380452105027,0.00558555491946589,0,0,0,0,0,0,0,0,0,0,3.15527672924093,20,49.12,-123.06,0,0.829199610094227,0.170800389905773,0,0,"WC",-0.0482633312445392,11.9136344956968,222.43013404148,-24.7755161069724,23.4595281306715,0.748393718369631,3.15527672924093,-0.810288170825473,-0.129483922214245,-1.26999244221699,-0.275909860426404
"Birkenhead","Sockeye",1959,268022,11388,0,0,0,0,0,0.0977718247009574,0.702901254374641,0.137164113393677,0,0,0.0335196364477543,0.0280014327182097,0.000641738364761102,0,0,0,0,0,0,0,0,0,0,3.15850889727814,20,49.12,-123.06,0,0.937837192469275,0.0621628075307251,0,0,"WC",0.313308692633585,12.2752065195749,274.337285092125,11.9096100427658,23.5354759395855,0.753982389982437,3.15850889727814,-0.679387452230123,0.422303206495696,-1.02469493687079,0.139434262114095
