Stock.ID,Species,Stock,Date.data.obtained,Date.data.incorporated,Date.data.updated,Ocean.Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID,Comment..we.will.update.this.later.,Comment.2023
101,Sockeye,Washington,3/1/2017,9/12/2017,NA,WC,WA,WA,WA,47.48,-122.42,1,Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake.,
102,Sockeye,Early Stuart,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Stuart,BC,49.12,-123.06,4,NA,
103,Sockeye,Bowron,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,NA,
104,Sockeye,Fennell,7/1/2017,9/12/2017,NA,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,NA,No updated data in fraser brood data
105,Sockeye,Gates,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,Spawning channel,Data duplicated in brood table - need to resolve 
106,Sockeye,Nadina,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,Spawning channel,
107,Sockeye,Pitt,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,Large hatchery influence that could not be separated out,
108,Sockeye,Raft,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,NA,
109,Sockeye,Scotch,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,NA,
110,Sockeye,Seymour,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Early Summer,BC,49.12,-123.06,4,NA,
111,Sockeye,Chilko,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Summer,BC,49.12,-123.06,4,Lake fertilization occurred in 1987 and 1989-1992,
112,Sockeye,Late Stuart,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Summer,BC,49.12,-123.06,4,NA,
113,Sockeye,Quesnel,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Summer,BC,49.12,-123.06,4,NA,
114,Sockeye,Stellako,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Summer,BC,49.12,-123.06,4,NA,
115,Sockeye,Birkenhead,7/1/2017,9/12/2017,5/18/2023,WC,Fraser River,Fraser Late,BC,49.12,-123.06,4,NA,
116,Sockeye,Cultus,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Late,BC,49.12,-123.06,4,Hatchery fish released starting in 2000,updated data from PSC_Fraser sheet has more NA values
117,Sockeye,Harrison,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Late,BC,49.12,-123.06,4,Fry go to sea at BY+1,
118,Sockeye,Late Shuswap,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Late,BC,49.12,-123.06,4,NA,Missing data for 2012 in update
119,Sockeye,Portage,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Late,BC,49.12,-123.06,4,NA,
120,Sockeye,Weaver,7/1/2017,9/12/2017,5/17/2023,WC,Fraser River,Fraser Late,BC,49.12,-123.06,4,Spawning channel present,
121,Sockeye,North Barriere,NA,5/17/2023,5/17/2023,WC,Fraser River,,BC,49.12,-123.06,,,Added 5/2023 from PSC_fraser sheet - no info
122,Sockeye,Sproat,9/1/2017,9/13/2017,NA,WC,BC South,Barkley Sound,BC,49.24,-124.82,9,NA,
123,Sockeye,Long Lake,9/1/2017,9/13/2017,NA,WC,BC Central,BC Central,BC,51.29,-127.68,8,NA,
124,Sockeye,Owikeno,15/7/2019,9/13/2017,NA,WC,BC Central,BC Central,BC,51.68,-127.25,8,updates with complete age coms July 2019,
125,Sockeye,Atnarko,15/7/2019,NA,NA,WC,BC Central,BC Central,BC,52.38,-126.78,NA,updates with complete age coms July 2019,
126,Sockeye,Alastair,9/1/2017,NA,5/18/2023,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
127,Sockeye,Babine-Early-Wild,9/1/2017,NA,5/18/2023,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
128,Sockeye,Babine-Fulton,9/1/2017,NA,5/18/2023,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"named ""fulton"" in brood data"
129,Sockeye,Babine-Late-Wild,9/1/2017,NA,5/18/2023,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
130,Sockeye,Babine-Mid-Wild,9/1/2017,NA,5/18/2023,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
131,Sockeye,Damdochax,9/1/2017,NA,5/18/2023,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
132,Sockeye,Bear- BC,9/1/2017,NA,5/18/2023,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
133,Sockeye,Johnston,9/1/2017,NA,5/18/2023,WC,BC North,Skeena-Nass,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
134,Sockeye,McDonald,NA,NA,NA,WC,SEAK,SEAK,AK,55.85,-131.75,NA,"Stock Recruit Analysis, 1979 - 2002 brood years.",
1340,Sockeye,East Alsek,NA,NA,NA,WC,Yakutat,Yakutat,AK,59.12,-138.66,NA,Stock-recruit analysis for brood years 1972 to 1990; separate stock-recruit analysis for brood years 1991 to 1997.,
134,Sockeye,Kitsumkalum,9/1/2017,NA,5/18/2023,WC,BC North,Skeena-Nass,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data,"Added 5/2023, unfiltered data used"
